artist,id
$wizzz,2O6ph9RDudyvAR4Gj6VDoE
10Tik,6I1j34QzSTWe6u4qQWKYJe
1Biggs Don,6NuqWCp8VQhokoHpiUY1mS
450,2v6V75NbousiJwy2HV44VL
Admiral Bailey,1zYGgHaZVz4Q2NrPngXiCx
Aidonia,5mYWkDD4b1eM4ZjFq5axxs
Alborosie,78u1jLVBjPSXQVmHBV43yG
Alkaline,2LIAgeQ5NZurwixfoG3CWZ
Alpha Blondy,41ekW4MXG59xJMXR8dX1OG
Althea And Donna,5E8FbSTegbOlYAH4b2rZj2
Anthony B,7Lij2ZLJJQOfGojVR3Wmqa
Anthony Johnson,0Bcs376c8LqOdFqtFvg4Nw
Areakode,1QsVoGHHTII86nYuQJHhlG
Arise Roots,2yPVS2x96IoUdO7t68VUjH
Audio Idols,4tHqkqP0DCD8Ek5OPvYTzH
Barrington Levy,5mMuiFhh7faS7qxnTLRA6u
Barry Brown,4RLadJjrl8Ygnmg4HoWH8v
Bayka,7pRxYXACpWZf1i7Chd8Sk2
Beenie Man,4L3GTE04bW5N7azA9QPhjA
Beenie Man & Mad Cobra,4jGhzUesr8BHFAbQ7wdFGl
Beres Hammond,2ruMkdO4e1tJWDHsYSEtxr
Billy Boyo,02QS4GibrL7zDnqe4OWWeu
Blvk H3ro,29v52R5tPpJ0Hrh1VnmZoZ
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD
Bost & Bim,43zfbzuXQncLzV9RyHy2EP
Bounty Killer,6UuT0BJZ9vF8Y1sxXnJl2s
Brigadier Jerry,5IJ9bzeZ3Jhnj2bwWwMZza
Brysco,1W07QMxZ9se7fIk2YSrx4h
Bugle,4J51t1ZO7ed5qgsXmz9VXM
Buju Banton,4wLAjfeqAsV66AocWNcowA
Bunny Wailer,389zc5Rwe0MPcE6mSF4AjC
Burning Spear,6qaKS0nzGP4hfjl4aFZmEU
Busy Signal,4RfTXjK9aiiIKDaKUHpL57
Capleton,21J3YJTyq1biE3SvSNjzuf
Carlton Livingston,1cvdnitvOQm3hA67H4izQT
Cham,5G8IlDlnPQPN4YmtJ6NDxK
Chan Dizzy,0fLP4yWtS7wE0S0QbI4IYG
Chris Malachi,5oGxL7bcmBRRFdh170s3nl
Christopher Martin,3dXC1YPbnQPsfHPVkm1ipj
Chronic Law,3zorWCDx017sz4UYP2fC9w
Chronixx,2oZcMYiKpjaA2Et5mU3RPP
Claye,5cxA5TNOxf4h9Y9btuxpCG
Cocoa Tea,7z7anCUBwfJUFuTQ4D1x6R
Collie Buddz,5Ayl2bJtN5mdCsxZoxs9n1
Cornell Campbell,1FOvLj8sNCGHjgueUOVvJi
Cutty Ranks,4qDGDPGMIJuIvPfUGe0Ngg
D'yani,3c4mJY5ixVvzRBdYvBtxci
DING DONG,351x2S7CduShTNvtzgkMl7
DJ Frass,0OV6SkCcoRHlz2uaCo0PG9
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
DJ Mums,0muGM5EKRMZ2Q9A7wvTgwX
Damian Marley,3QJzdZJYIAcoET1GcfpNGi
Danakil,52MTyKpEJBAnWj1oVNYGTj
Dane Ray,46rVVmbyILBPP3i3Jrxmgh
Dawn Penn,6mLXvSt7Xxy2r9uBba1O6Z
Delroy Wilson,10j5vcbnSBWXZ1WYyv2a2D
Demarco,0af5VM6xubf8EXKvoG35x6
Dennis Brown,0UmBaQJflaHddKtf1lrA6F
Desmond Dekker,1FcB6xMihhP9Hb6AdGVbWe
Dexta Daps,28UDeKu2FPrU0T7dpUiSGY
Don Carlos,5WcGRaGsl0b9sul7jVdDgc
Don Corleon,6TD4ou7lV21AoUI32JGp86
Dovey Magnum,2QXURwKFTGg2RfgSKJ4HlR
Dre Island,0TS9FVfPz9X4ijxno3KBi8
Dread Mar I,1aw0Cdl1DIrtUrUA6fGbAR
Duane Stephenson,4jdHfc4ZIDd7RYn1reuDg2
Easy Star All-Stars,5FWTu1MZdB5fjKif2rZldJ
Eek-A-Mouse,6xqlgBccdlxUh5DeJSx2ho
Eesah,6ZwMnwgPVTiy0vpiU80Bla
Elephant Man,6NOvBZrkd83MSD51xkq4on
Erup,06u187az5ps4QsoZHMN8DJ
Etana,6oF8gXhgD5ZTQ0biyaw4Cm
Extol Music,6TzV0Bn68VGrh8l6I8GEeM
Fantan Mojah,224iUwyJmK9mbPT0aLtS5W
Fat Freddy's Drop,32lo0J8u6KZJTwBOIBrdYS
Flyght,187pwRsRmnSuMPgr78Qy5W
Frankie Paul,1J4CDjVHn8ummXVmJ7Q73u
Freddie McGregor,30R9paG1c5BGtNGle59VPq
Frisco Kid,3FQmk40XXoExWndDiA28I7
Fyah Roiall,57Dk8tufq1MKVvjJG7mpRe
Gappy Ranks,4rkmaLySgI7sl9cKfJ3tT8
Garnett Silk,4xDC3G6OUck11fSodF11jI
Gaza Slim,7mPRzTE0BI6QMFmWhevSog
Gentleman's Dub Club,6AGZSUNP6AVZ2BTxUsbJsr
Gold Gad,50ICpu6bWTdtBPzqkDm19i
Gondwana,4nSgEvZncnC5oNPVrtwnLd
Govana,5Xi3NfsVBIEbaWVUfBTy39
Green Lion Crew,7iA6sxOMDOu5MnyfmKQv6m
Gregory Isaacs,6QHu71f8LLeT8n0GzfbYFc
Gyptian,2JX4h8xm0hNxCB0aNBWzyi
Half Pint,0tGZBRO4tZjpUOZcD7tMeS
Hollie Cook,1fwuUuFbqXJx3B17PUhFCE
Hugh Mundell,4udRIlOSZJ8snXyJYJgEE0
I Wayne,3HQIkVkhoARQMb0XlvyUKL
I-Octane,2T5FHRvBN0LYvlvDoU89dS
IQ,10jSImvLGufcMdETaNGvsv
Ini Kamoze,1VJspRsoC6c0bvqhnSiFCs
Inner Circle,5os0Ltvz8Q8BvXOPOd1frx
Intence,3gwIlS9NOwBgwV3RfQIYiR
Israel Vibration,2Y06xyHPovQ8DWLyVIpSJK
J Capri,6rgMAmoutpto9ded7xYd20
J.C. Lodge,4VyFyMJAJ2YzNgXkyAyyUh
Jacob Miller,6zJjuLyqniz4ilDlYIjiio
Jada Kingdom,2FgooFaZzZy6PUyJImk0kG
Jafrass,6YaA8jbfVVyMzSp6bUq2YU
Jah Cure,1bSn5aMcE83TXLlLDU9rTy
Jah Thomas,6HlApAOH4X51mkur3KeMGr
Jah Vinci,0mkixmQkcUeE6egKHW4ojh
Jah9,6jNPkvFjV9LEguf2CrcFoH
Jahshii,4pP4fxW65oev1NdRd2Fbn7
Jahvillani,40vpvFOIfRil2lXkK5GrTK
Jason Tamba,7gfuxIgr15DM6ZgZyFCd1N
Jaz Elise,1KcAq7rtxXV2RJ7BsFFItA
Jaz Karis,4rDcfb3TEWyx0BKdzKG24I
Jesse Royal,4aXUVIuNCDbLoRAYfuVDi1
Jimmy Cliff,3rJ3m1tM6vUgiWLjfV8sRf
Jimmy Riley,30ab9kzEA26zJbWokBNGRs
John Holt,312pFk2xpEwYWLGPehc4Nu
Johnny Clarke,5La4baU6Q4hL2TkVoDEQNa
Johnny Osbourne,5TUTGRG0FlRoYTZ4GEdOVO
Julian Marley,7a4td2FhkuH58dApiBvnrv
Junior Byles,5J6lHDYy53GyksfcJyHadC
Junior Murvin,17dXLKGh9AKpooAvGaVt34
Junior Reid,0qPUDOVD0aYR2lmCilnscs
KASEENO,5s9AUlhfHCmkFD4fIVYGud
Kabaka Pyramid,10p1CDVyRIkR2ybAu7SbVH
Kacique,0k8urb67kUIa6AoV3Wo8Aw
Kaliffa,0rJEJ9T9JwC6ajdnMeqREY
Kapten Röd,4G2UDRhQLUDq0f93giGYwA
Kash Promise Move,0n2GVhODT8CJldQoVdsMw4
Kashmar,2dBrr4qjWzXeV5r7hyQrTH
Kes,7E6r9S8qCRfZVCjF1A8do6
Kibir La Amlak,1x4zvlXfZFyFp7tZhdtdpi
Kiko Bun,7yMruV2Y0a7ib9RLj9mLQQ
King Jammy,0xvTSLJBdLWHwUoQhGNbCe
King Tubby,1AMMMSq3rJdZtFGnBXEkz7
Kiprich,1K6FlvOftq7555uvKY0m5v
Koffee,1gWjcmBsveEYMxOZ0VRi32
Konshens,3nwYsifpwrKmCIpw4i0HDW
Kranium,1LKo6ZA3RNvKtLa6zDu32S
Ky-Mani Marley,1XTGADISSMRf8B4TcVGYUC
Kybba,5I8OAPN5jY1wvHwpnsRRsA
Laa Lee,4cb3HigJCNGP3rcRhVbYwS
Lady Saw,2X1VgNqQOiSbkyel3a9rjK
"Lee ""Scratch"" Perry",1TsG4AumsMt1Tcq2nHpov9
Leroy Smart,6u7C6jxjkDAThmdcOnAwH0
Liam Bailey,022EiWsch2zvty0qBUksDO
Lila Iké,0uAUrmEQbwcDFzg0v7VicO
Linton Kwesi Johnson,0bvRYuXRvd14RYEE7c0PRW
Linval Thompson,7IURtrIM8SBTlCI9qrAuUQ
Lion D,6dV7tQuFIXDX8nbGkWCSnz
Little John,5bNXBeR6aWZC2SrZL0oNFh
Luciano,3Vszg64mczF1dWEcW2dU5W
Macka Diamond,6ETpDuVbzktDEfNza1CN8i
Maestro Don,6sgu3qdyKJZuXyCdUxBRPV
Malie Donn,0sP79Bq6zJj6EskteStNBW
Marksman,6L4nSgGW6OpNPqa83i2jDR
Masicka,2Gzy8TYJ5xrEMDyUjZuDsK
Matthew Bento,1lz8mmm4zJ07PO9sgaNjdY
Mavado,0eezS9KmhdjGN436RdTIXu
Max Romeo,45QpZznbXYo3nWy0TIhvgv
Maxi Priest,3aTuTR5Nf6pVW3837q2ZL7
Mellow Mood,0DoxfbAxoISNySf35oVCN5
Michael Prophet,2qUfyLUGgzdl230mYZsu82
Michigan,72MmmQJccckGijuruZ6Spb
Midnite,2qo5BOQTBHXYKcTER10pRZ
Mighty Diamonds,2MvXKrHantfY5wyPiCOo2k
Mikey Dread,6xKQ3GOnt3gjzja4IcLyg4
Mista Savona,4Y6SrIz24cWZIWuG28CVgz
Moyann,5XV9d7Ee7IuJrday4LIpKc
Mr. Vegas,1pmixngtBJleMrGUG5o8DE
Mr. Williamz,3iL52u3kr14P6cTpB0VuEs
Mungo's Hi Fi,0Ism1B2cF9NxpXAwdUCkxK
Musical Youth,2CuzDPkRD6BJBvdWqCrt2I
Mykal Rose,5wdQ2IkL8WASlcyt0x2s8Q
Nation Boss,7I6r8LoL1vyeiUOAudYu4P
Natty,2bYR6To8Z49UmceWctNMIb
Navy,5lcuEyOhY94UGnsCgzTFao
Neeqah,6sIie9b9Vus7jb5Q9vA42K
Nicodemus,74yVVJyUgsoTHl4zNXX7RV
Niney The Observer,1eM04Kj9DckOUmU1LOfj8j
Ninjaman,6AOWTKUQBsRamW22wk4ptr
Nitty Gritty,5scrFOJmEsbpwUJLjkFFHJ
Norris Man,2rVr4KpUNe5Kyxnir7RCbW
Pablo Moses,6EMWMUO2B9Nt39O7SXdZUw
Papa Rosko,1lCfRTT7seSc5haEaj1Zim
Patrick,5AsSAnDll3y5sw1XCAOFQv
Peter Tosh,0oea1hwGMfUxZbLxJc1XUN
Pinchers,0qPme7vL5lolpwxquzeSF7
Popcaan,62DmErcU7dqZbJaDqwsqzR
Prettii Prettii,4w5IDE4fZm2eYAC8NAA03j
Prince Far I,6BkTUVaHHgKUAjc4U7xGUL
Prince Swanny,2Jv0w50BNaGlwnXpq69HGm
Projexx,2DFzMI8SSWPYBBSxVF7b2N
Protoje,7BGR8y1VZAWK2oR4zD9COr
RDX,4GpVRyxDYccJrbQkO3KWws
Ranking Dread,1HDAqfZv7HAtePsVGTgRPY
Ranking Joe,2VOFT3lVhcMPRoUo0vj0f7
Ras Zacharri,7rmO0cgE7MUfQwc2o87Wlc
Red Rat,4lthN9sVX4QW2lnXQEUbMh
Reggae Roast,6X9sCKOanZEWlaDnFw24Ed
Reggie Stepper,5jXyw1hN0YcQ7jHeQq1uEk
Richie Spice,3PqSrKPGZXefu4krgFCZSP
Roland Burrell,0hqvYuUMuyZGaDgJNNyOAE
Rolex,4oETe59J9VPWeBxLFl1pGS
Romain Virgo,6HCIRVlJ8tvmKPAtFnxyFg
Royal Blu,5GZOZpWXKPAMPZQrcrnyzx
Roze Don,6PUMb9DPJ9l0j0goEYBFHX
Runkus,3HtqLmblZBFHozJBuKZTzQ
Rygin King,0IHg6uUuIes2nxFoT0otpr
Rytikal,2XmUEusYfpe4UG5BJtRwgX
SOJA,2vaWvC8suCFkRXejDOK7EE
SVM,5w88JpwqD4g4WtZGsJlCL2
Samory I,2Tecz83XE3bNwAxGiGDFJR
Sanchez,6550dJCDSrZ8Cv6IDAjHpf
Savage Savo,2m8aqY5lfHz8u3tigSE3mR
Scientist,1edl5fzpdS471TaQ8Bgs3w
Sean Paul,3Isy6kedDrgPYoTS1dazA9
Serani,22099GssG7Ood0d5UIh2wo
Sevana,2TZL5FEo1CGwmgdMSFwsdS
Shabba Ranks,3j7Sw80qzL2FJlryUhI3wG
Shaggy,5EvFsr3kj42KNv97ZEnqij
Shaneil Muir,6ilIhmo2Ijzq3BnKuxf2KQ
Shenseea,1OFOShsIbhy1l5x73yuVyB
Sikka Rymes,0BDiVDhMNHA8WcxKxEbBjr
Silver Cat,5Wxa34RnRJYNNQCKRx1uZY
Simpleton,6a9dRIQdjTzO1aSa5aHfDM
Sister Nancy,21pMSs2JHWwwy2kp1QIIVB
Sizzla,72T7x96EAqN2UWvAgobYfv
Skeng,4SGo67MJz6DdsjzaRZ4OD7
Skillibeng,5FkUhnHQ0KC63549LHHtst
Skip Marley,4ryoUS0W8qXokfMxrlJt6O
Sly & Robbie,6jJG408jz8VayohX86nuTt
Snow,3uZFBSsMiooimnprFL9jD1
Spice,0wEvWMQRqaXcgnrZv6KtyL
Spragga Benz,2RUW6D53228zMHAXjaQI8f
Squash,1HXkVBU6RwIxxN6xuI6b00
Stalk Ashley,6VCt6Dh7TaZF330ZFeNHv5
Steel Pulse,6UL7BodGc5iVmQGlMwHR0g
Stephen Marley,0CIwCGmQMqHqiblnZlFia1
Strictly The Best,7of7Lkv8YpBfuD2W3uDXIo
Sugar Minott,6iTD167bhyfYwEd7fd2bGn
Super Cat,7hHDN8REbPLpv46ROortOM
T.O.K,06JH3wcXkJg7eoxZVMO1UX
Tanya Stephens,0vL0HKEtNHGobKmDNarMFQ
Tarrus Riley,4frHO7KPcfMjhnVdIMJ98c
Tee-Jay,484jRW0FSFscts8vhmUYBP
Teejay,30hElzuHCZ1qzCl364SHma
Tenor Saw & Nitty Gritty,101t5epWeg3xPYL88dbu7j
The Amplified Project,0O84UJcaMyncTUcA49HEch
The Frightnrs,0wwBxT2qVH327KlBJbwMEP
The Gladiators,3L5iYAziSDnuaHsSgbkcIP
The Heptones,6b5Hxvp7SWlJY5uUrRlzx4
The Maytals,6eHPmq8aR8X4TZIMvrD9Bo
The Meditations,0ESPEmxgaaAKGI39Jt0NlZ
The Paragons,5sCZ2Gc3nZaE3Cav8WG7WG
The Pioneers,4CSqr95TKzLmNeClcDr219
The Skatalites,4og9jrin5xH5JiFPbeGUPb
The Wailers,6uSKeCyQEhvPC2NODgiqFE
Tiger,5Im9CBGcV9N3V6ehgZFcRk
Toddla T,3l1C23aRp4lfkBK3lLAp2m
Tommy Lee Sparta,2yHxc12dEUiLXNeqUadxBh
Tony Matterhorn,6taesTUSevB9eK8bm5Y7b9
Toots & The Maytals,6ZFv3wQwwWPiVDWhv0mjQK
Toyan,5S49bAbRMVTYKfhcMzU5Rz
U-Roy,4aCH6cwaYahrWfJWqfEfra
UB40,69MEO1AADKg1IZrq2XLzo5
Vershon,42NCKSFJsf7cFevs2BuG2g
Vybz Kartel,2NUz5P42WqkxilbI8ocN76
WASP,5AOX4dGrzMoj6YJkKvmXaW
Wailing Souls,2ffhJMXvdEJFZISX76ccQL
Walshy Fire,3yJLZoq3Ra2VmSW5teVgih
Ward 21,0iRwqSYn7fG3WkEBYQpcqJ
Wayne Marshall,1L9hOwgmwVUkUftkPH0JU1
Wayne Smith,7kwcin6f7eYIvo6hG3GEn4
Wayne Wonder,3kc5AFnL1TQQdNaMdSW2UO
Xyclone,5MahnQmv4JAYFE5eUTliDI
Yaksta,5vtwMQzntImyhUesG7tt2n
Yellowman,6yTNMMqumesCWhMJ47HB2a
Yung Ras,5QjxUK1rSMC6uqnXz1xTsq
ZJ Liquid,32EMPFuSw1tkuAxXxGh2CU
Ziggy Marley,0o0rlxlC3ApLWsxFkUjMXc
jahmiel,1pcKqVZ7T90mJ2rKo9XWYV
